日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,松山,AMB_TEMP,21,21,21,21,20,20,20,21,22,23,24,25,26,26,25,25,24,23,23,23,23,23,23,22
2017/01/01,松山,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,2
2017/01/01,松山,CO,0.34,0.35,0.28,0.23,0.23,0.21,0.23,0.28,0.29,0.24,0.2,0.2,0.19,0.2,0.22,0.21,0.21,0.24,0.35,0.39,0.31,0.44,0.41,1
2017/01/01,松山,NMHC,0.07,0.08,0.06,0.05,0.05,0.04,0.05,0.07,0.07,0.07,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.08,0.1,0.07,0.12,0.1,0.34
2017/01/01,松山,NO,2,1.3,0.9,0.9,1.3,1.1,1.7,2.9,4.4,3.6,2.7,2.8,2.5,2.4,2.6,2.5,2.2,2.2,2.5,3.4,2.4,3.4,2.6,32
2017/01/01,松山,NO2,9.4,11,8.8,6.5,6.1,6,12,17,16,11,7.5,5.5,5.4,5.4,7.1,6.9,7.6,9.8,16,20,14,23,20,30
2017/01/01,松山,NOx,11,12,9.7,7.4,7.4,7.1,13,20,21,14,10,8.3,7.9,7.7,9.7,9.4,9.8,12,19,23,17,26,23,62
2017/01/01,松山,O3,35,33,35,37,37,36,31,27,28,34,39,42,42,43,42,41,39,36,28,24,30,21,23,13
2017/01/01,松山,PM10,29,24,23,19,21,22,27,25,23,23,22,29,22,18,16,20,22,31,26,29,18,15,10,8
2017/01/01,松山,PM2.5,8,6,11,7,3,3,7,11,9,10,8,14,8,15,7,12,6,5,5,9,14,12,7,7
2017/01/01,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,松山,RH,71,72,71,72,73,75,74,72,69,64,60,54,53,53,54,57,61,64,66,67,65,63,62,63
2017/01/01,松山,SO2,1.7,1.6,1.6,1.4,1.8,1.9,2,2.4,2.1,1.8,1.9,1.6,1.3,1.5,1.4,1.4,1.4,1.4,1.5,1.7,1.7,1.8,1.8,2.7
2017/01/01,松山,THC,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.9,1.9,2.4
2017/01/01,松山,WD_HR,97,76,69,59,63,57,63,64,65,73,78,90,77,75,87,93,79,74,68,69,70,60,57,187
2017/01/01,松山,WIND_DIREC,106,73,70,58,64,58,63,63,68,81,79,98,81,74,75,94,74,66,60,82,58,65,45,208
2017/01/01,松山,WIND_SPEED,1.6,2,2,1.9,2,1.8,1.9,1.7,1.7,2.2,2,2.2,2.4,1.9,2.3,2.5,2.6,2.4,1.4,1.8,1.6,1.3,1.1,0.8
2017/01/01,松山,WS_HR,1,1.2,1.3,1.6,1.6,1.7,1.5,1.3,1.4,1.4,1.2,1.6,1.4,1.7,1.4,1.4,1.6,1.6,1.3,1.2,1.4,1.1,0.9,0.3
2017/01/02,松山,AMB_TEMP,21,21,20,20,20,19,19,19,20,21,23,24,25,25,25,24,23,23,22,21,21,21,20,21
2017/01/02,松山,CH4,2.4,2.1,2.1,2.2,2.1,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9
2017/01/02,松山,CO,1.36,0.78,0.6,0.59,0.33,0.41,0.42,0.44,0.52,0.46,0.4,0.42,0.52,0.43,0.41,0.32,0.3,0.41,0.56,0.49,0.44,0.57,0.6,0.5
2017/01/02,松山,NMHC,0.53,0.3,0.26,0.29,0.19,0.21,0.2,0.15,0.17,0.13,0.11,0.12,0.15,0.11,0.11,0.09,0.08,0.13,0.19,0.16,0.13,0.18,0.2,0.17
2017/01/02,松山,NO,51,20,7,12,4.4,3.7,7.6,14,16,11,8.2,4.4,4.2,4.1,3.3,3.6,3.4,3.1,6.4,4.6,4.2,6,6.4,3.6
2017/01/02,松山,NO2,35,27,23,23,14,17,18,17,21,21,20,16,22,18,20,19,20,23,34,29,27,31,32,26
2017/01/02,松山,NOx,86,47,30,35,18,21,26,31,37,32,28,21,26,22,24,22,23,26,40,34,31,37,38,29
2017/01/02,松山,O3,4.9,5.1,6.5,5.5,10,6.5,7.4,9.2,12,21,32,46,55,56,56,45,37,26,14,17,19,11,8.8,14
2017/01/02,松山,PM10,21,26,25,21,12,17,20,22,18,20,26,31,30,42,46,49,33,31,29,40,44,39,34,24
2017/01/02,松山,PM2.5,12,13,7,5,2,7,7,14,14,23*,19,20,19,30,38,28,16,13,15,22,19,20,21,16
2017/01/02,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
